,survived,pclass,sex,age,sibsp,parch,fare,embarked,who,adult_male,alone
0,0,3,male,22.0,1,0,7.25,S,man,True,False
1,1,1,female,38.0,1,0,71.2833,C,woman,False,False
2,1,3,female,26.0,0,0,7.925,S,woman,False,True
3,1,1,female,35.0,1,0,53.1,S,woman,False,False
4,0,3,male,35.0,0,0,8.05,S,man,True,True
5,0,3,male,29.64209269662921,0,0,8.4583,Q,man,True,True
6,0,1,male,54.0,0,0,51.8625,S,man,True,True
7,0,3,male,2.0,3,1,21.075,S,child,False,False
8,1,3,female,27.0,0,2,11.1333,S,woman,False,False
9,1,2,female,14.0,1,0,30.0708,C,child,False,False
10,1,3,female,4.0,1,1,16.7,S,child,False,False
11,1,1,female,58.0,0,0,26.55,S,woman,False,True
12,0,3,male,20.0,0,0,8.05,S,man,True,True
13,0,3,male,39.0,1,5,31.275,S,man,True,False
14,0,3,female,14.0,0,0,7.8542,S,child,False,True
15,1,2,female,55.0,0,0,16.0,S,woman,False,True
16,0,3,male,2.0,4,1,29.125,Q,child,False,False
17,1,2,male,29.64209269662921,0,0,13.0,S,man,True,True
18,0,3,female,31.0,1,0,18.0,S,woman,False,False
19,1,3,female,29.64209269662921,0,0,7.225,C,woman,False,True
20,0,2,male,35.0,0,0,26.0,S,man,True,True
21,1,2,male,34.0,0,0,13.0,S,man,True,True
22,1,3,female,15.0,0,0,8.0292,Q,child,False,True
23,1,1,male,28.0,0,0,35.5,S,man,True,True
24,0,3,female,8.0,3,1,21.075,S,child,False,False
25,1,3,female,38.0,1,5,31.3875,S,woman,False,False
26,0,3,male,29.64209269662921,0,0,7.225,C,man,True,True
27,0,1,male,19.0,3,2,263.0,S,man,True,False
28,1,3,female,29.64209269662921,0,0,7.8792,Q,woman,False,True
29,0,3,male,29.64209269662921,0,0,7.8958,S,man,True,True
30,0,1,male,40.0,0,0,27.7208,C,man,True,True
31,1,1,female,29.64209269662921,1,0,146.5208,C,woman,False,False
32,1,3,female,29.64209269662921,0,0,7.75,Q,woman,False,True
33,0,2,male,66.0,0,0,10.5,S,man,True,True
34,0,1,male,28.0,1,0,82.1708,C,man,True,False
35,0,1,male,42.0,1,0,52.0,S,man,True,False
36,1,3,male,29.64209269662921,0,0,7.2292,C,man,True,True
37,0,3,male,21.0,0,0,8.05,S,man,True,True
38,0,3,female,18.0,2,0,18.0,S,woman,False,False
39,1,3,female,14.0,1,0,11.2417,C,child,False,False
40,0,3,female,40.0,1,0,9.475,S,woman,False,False
41,0,2,female,27.0,1,0,21.0,S,woman,False,False
42,0,3,male,29.64209269662921,0,0,7.8958,C,man,True,True
43,1,2,female,3.0,1,2,41.5792,C,child,False,False
44,1,3,female,19.0,0,0,7.8792,Q,woman,False,True
45,0,3,male,29.64209269662921,0,0,8.05,S,man,True,True
46,0,3,male,29.64209269662921,1,0,15.5,Q,man,True,False
48,0,3,male,29.64209269662921,2,0,21.6792,C,man,True,False
49,0,3,female,18.0,1,0,17.8,S,woman,False,False
50,0,3,male,7.0,4,1,39.6875,S,child,False,False
51,0,3,male,21.0,0,0,7.8,S,man,True,True
52,1,1,female,49.0,1,0,76.7292,C,woman,False,False
